Stallion,Gait,Country 1 (AUS),Stud,Country 2 (NZ),Stud,Country 3 (USA),Stud,Country 4 (CA),Stud,Country 5 (FRA),Stud,Country 6 (SWE),Stud
A Rocknroll Dance,Pacer,Australia,Somerset Farms,New Zealand,Somerset Farms,,,,,,,,
Act Now,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
Advance Attack,Pacer,Australia,Shanks Standardbreds,,,,,,,,,,
Aldebaran Zeus,Trotter,Australia,Aldebaran Park,,,,,,,,,,
All Bets Off,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
All Cashed Up,Trotter,,,New Zealand,Wai Eyre Farm,,,,,,,,
Always B Miki,Pacer,Australia,Alabar,New Zealand,Alabar,USA,Diamond Creek Farm of Pennsylvania,,,,,,
Always Ready,Trotter,Australia,Yabby Dam Farms,,,,,,,,,,
American Ideal,Pacer,,,New Zealand,Woodlands Stud,,,,,,,,
Art Major,Pacer,Australia,Alabar,New Zealand,Alabar,,,,,,,,
Auckland Reactor,Pacer,Australia,Yanko Lodge,,,,,,,,,,
Be Happy Mach,Pacer,Australia,Wingate Farm,,,,,,,,,,
Best in Show,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
Bettor's Delight,Pacer,Australia,Woodlands Stud,New Zealand,Woodlands Stud,,,,,,,,
Bettors Wish,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
Bit Of A Legend N,Pacer,,,,,USA,Clark Acres Equine,,,,,,
Bold Eagle,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,,Stuteri Ab Lex,,,France,Haras de la Meslerie,Sweden,
Bonavista Bay,Pacer,,,New Zealand,Spurrs Stud,,,,,,,,
Boom Boom Hall,Pacer,,,New Zealand,Melton Stud,,,,,,,,
Booster Winner,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,,Stall Viretaute,,,France,Haras du Cotentin,Sweden,
Brillantissime,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,,,,,France,Haras de Bouttemont,Sweden,Stuteri Ab Lex
Bulldog Hanover,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,,
Calgary Games,Trotter,Australia,Aldebaran Park,,,,,,,,,,
Callmethebreeze,Trotter,Australia,Yabby Dam Farms,,,,,,,,,,
Cannibal,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,USA,Diamond Creek Farm of Pennsylvania,,,,,,
Captain Ahab,Pacer,,,,,,,,,,,,
Captain Crunch,Pacer,Australia,Alabar,New Zealand,Alabar,,,,,,,,
Captains Knock,Pacer,Australia,Rampart Standardbreds,,,,,,,,,,
Captaintreacherous,Pacer,Australia,Empire Stallions,New Zealand,Empire Stallions,USA,Southwind Farms of New Jersey,Canada,Winbak Farm of Canada,,,,
Cardigan Boko,Trotter,Australia,Bellmoure Park,,,,,,,,,,
